"REDFY","Rediff.com India Ltd","--","--","--","--","--"
"REFR","Research Frontiers Inc","--","--","--","--","--"
"RELL","Richardson Electronics Ltd","--","--","--","--","--"
"RESN","Resonant Inc","--","--","--","--","--"
"RFIL","RF Industries Ltd","--","--","--","--","--"
"RMGN","RMG Networks Holding Corp","--","--","--","--","--"
"RNG","RNG","1","C","9","--","--"
"RNWK","RealNetworks Inc","--","--","--","--","--"
"RPD","Rapid7 Inc","--","--","--","--","--"
"RST","Rosetta Stone Inc","--","--","--","--","--"
"RSYS","Radisys Corp","--","--","--","--","--"
"RUBI","Rubicon Project Inc","--","--","--","--","--"
"SALE","RetailMeNot Inc","--","--","--","--","--"
"SANM","Sanmina","--","--","--","--","3"
"SCKT","Socket Mobile Inc","--","--","--","--","--"
"SCON","Superconductor Technologies Inc","--","--","--","--","--"
"SCOR","Comscore Inc","--","--","--","--","--"
"SCWX","SecureWorks","3","C","9","--","--"
"SEAC","SeaChange International Inc","--","--","--","--","--"
"SFUN","Soufun Holdings Ltd-ADR","1","B","8","--","--"
"SHOR","Shoretel Inc","--","--","--","--","--"
"SIGM","Sigma Designs Inc","--","--","--","--","--"
"SIMO","Silicon Motion Technology Corporation","3","C","8","--","--"
"SMIT","Schmitt Industries Inc","--","--","--","--","--"
"SMSI","Smith Micro Software Inc","--","--","--","--","--"
"SMTX","SMTC Corp","--","--","--","--","--"
"SOL","ReneSola Ltd","--","--","--","--","--"
"SONS","Sonus Networks Inc","--","--","--","--","3"
"SPDC","Speed Commerce Inc","--","--","--","--","--"
"SPWR","SunPower Corp. - Class A","2","C","9","3","3"
"SQNS","Sequans Communications SA","--","--","--","--","--"
"SREV","ServiceSource International Inc","--","--","--","--","--"
"SSNI","Silver Spring Networks Inc","--","--","--","--","--"
"SSYS","Stratasys Ltd.","3","C","9","3","3"
"STRI","STR Holdings Inc","--","--","--","--","--"
"SUNEQ","SunEdison Inc","--","--","--","--","--"
"SYNC","Synacor Inc","--","--","--","--","--"
"SYNT","Syntel Inc","--","--","--","--","--"
"SYX","Systemax Inc","--","--","--","--","--"
"TAIT","Taitron Components Inc","--","--","--","--","--"
"TCCO","Technical Communications Corp","--","--","--","--","--"
"TIGR","TigerLogic Corp","--","--","--","--","--"
"TNAV","Telenav Inc","--","--","--","--","--"
"TNGO","Tangoe Inc","--","--","--","--","--"
"TRMR","Tremor Video Inc","--","--","--","--","--"
"TRUE","TrueCar Inc","--","--","--","--","--"
"TRVG","Trivago","1","C","9","--","--"
"TTD","Trade Desk Inc","--","--","--","--","--"
"TWLO","Twilio Inc","--","--","--","3","--"
"TWOU","2U Inc","--","--","--","--","--"
"UCTT","Ultra Clean Holdings Inc","--","--","--","--","--"
"UIS","Unisys Corp","--","--","--","--","--"
"UNXL","Uni-Pixel Inc","--","--","--","--","--"
"UPLD","Upland Software Inc","--","--","--","--","--"
"USAT","USA Technologies Inc","--","--","--","--","--"
"VECO","Veeco Instruments","1","C","9","--","3"
"VIDE","Video Display Corp","--","--","--","--","--"
"VNET","21Vianet Group Inc","--","--","--","--","--"
"VRNS","Varonis Systems Inc","--","--","--","--","--"
"VRNT","Verint Systems Inc","--","--","--","3","--"
"WK","Workiva Inc","--","--","--","--","--"
"WPCS","WPCS International Inc","--","--","--","--","--"
"WSTL","Westell Technologies Inc","--","--","--","--","--"
"XCOMQ","Xtera Communications Inc","--","--","--","--","--"
"XGTI","xG Technology Inc","--","--","--","--","--"
"XNET","Xunlei Ltd","--","--","--","--","--"
"XTLY","Xactly Corp","--","--","--","--","--"
"YELP","Yelp","2","C","9","--","--"
"YEXT","Yext Inc","--","--","--","--","--"
"YGE","Yingli Green Energy Holding Co Ltd","--","--","--","--","--"
"YRD","Yirendai Ltd","--","--","--","--","--"
"YUME","YuMe Inc","--","--","--","--","--"
"YY","YY","1","C","7","--","--"
"ZBRA","Zebra Technologies Corp","--","--","--","3","3"
"ZEN","Zendesk, Inc.","1","C","9","--","--"
"ZG","Zillow","1","C","9","--","--"
"ZNGA","ZYNGA","2","C","9","--","--"
