"PAY","Verifone Systems Inc","0.27","4.36","0.59","-31.12","-43.51","-60.17","-50.95"
"PCMI","PCM Inc","6.88","-25.74","-14.59","105.7","97.46","223.2","81.49"
"PCTI","PCTEL Inc","1.01","13.58","39.17","81.67","1.01","19.32","-19.7"
"PCTY","Paylocity Corp.","8.9","15.01","26.62","17.11","133.97","--","--"
"PFPT","Proofpoint Inc","4.01","11.37","-2.2","46.24","183.63","506.74","--"
"PFSW","PFSweb Inc","-2.65","20.46","-1.87","-45.28","-6.48","98.92","47.73"
"PI","Impinj Inc","8.67","39.3","19.5","--","--","--","--"
"PLPM","Planet Payment Inc","-0.71","-2.34","-1.42","4.76","69.23","-12.92","--"
"PRCP","Perceptron Inc","1.3","0","33.08","94.78","-24.38","40.36","0"
"PRGS","Progress Software Corp","0.77","1.11","7.6","22.78","40.81","37.45","42.5"
"PRGX","PRGX Global Inc","-1.56","1.61","10.53","31.52","-2.78","-4.26","-52.27"
"PRKR","ParkerVision Inc","2.42","8.72","-3.2","-27.65","-96.07","-83.69","-98.42"
"PRO","PROS Holdings Inc","0.43","10.01","14.33","105.04","-3.43","31.87","--"
"PSDO","Presidio Inc","2.59","0.91","--","--","--","--","--"
"PSTG","Pure Storage","2.71","7.88","0.35","-19.6","--","--","--"
"QADB","QAD Inc","-1.69","5.03","3.94","50.28","65.71","121","35.51"
"QBAK","Qualstar Corp","2.88","109.88","111.88","222.28","-4.7","-23.37","-51.1"
"QNST","Quinstreet Inc","-3.53","5.4","22.39","20.59","-32.34","-50","--"
"QTM","Quantum Corp","1.71","38.3","22.37","153.69","3.36","-50.17","-59.85"
"QTWO","Q2 Holdings Inc","0.52","5.79","20.57","67.69","219.2","--","--"
"QUIK","QuickLogic Corp","5.03","-1.47","8.44","75.79","-52.96","-46.3","-38.38"
"QUMU","Qumu Corp","0.88","-5.11","17.12","-38.24","-80.47","-70.11","-90.65"
"QUOT","Quotient Technology Inc","-0.44","23.91","3.64","2.15","-36.38","--","--"
"RATE","Bankrate","5.69","16.75","0","28.6","-35.32","-44.44","--"
"RBCN","Rubicon Technology Inc","1.51","-8.52","43.83","28.87","-90.34","-91.8","--"
"REDFY","Rediff.com India Ltd","-8.38","-22.5","-1.9","-79.05","-95.57","-98.41","-99.44"
"REFR","Research Frontiers Inc","17.52","11.04","-24.99","-68.73","-70.37","-52.52","-87.81"
"RELL","Richardson Electronics Ltd","2.39","3.09","-0.99","16.28","-40.06","-50.82","-31.9"
"RESN","Resonant Inc","1.7","-0.21","2.58","10.14","--","--","--"
"RFIL","RF Industries Ltd","-0.5","6.9","-6.06","-33.19","-75.16","-56.09","-47.46"
"RMGN","RMG Networks Holding Corp","-2.44","11.11","14.29","-16.4","-77.78","-91.75","--"
"RNG","RNG","-0.3","20.29","41.81","79.49","105.63","--","--"
"RNWK","RealNetworks Inc","1.1","4.55","-12.71","2.45","-38.42","-46.39","-86.74"
"RPD","Rapid7 Inc","3.42","14.93","34.27","47.73","--","--","--"
"RST","Rosetta Stone Inc","1.96","1.6","42.04","38.09","-1.38","8.25","--"
"RSYS","Radisys Corp","0.72","7.2","-5.44","-13.13","32.38","-28.84","-71.9"
"RUBI","Rubicon Project Inc","3.39","3.48","-24.23","-60.35","-58.46","--","--"
"SALE","RetailMeNot Inc","-0.22","49.03","26.23","58","-64.69","--","--"
"SANM","Sanmina","0.48","-9.13","-10.14","52.03","74.84","329.16","68.29"
"SCKT","Socket Mobile Inc","-1.2","-1.67","2.23","18.05","229.6","72.38","-57.96"
"SCON","Superconductor Technologies Inc","-1.65","4.07","59.82","-45.49","-94.81","-98.54","-99.37"
"SCOR","Comscore Inc","0.16","5.3","-22.26","-9.28","-21.38","32.04","--"
"SCWX","SecureWorks","1.35","1.01","-15.11","-33.41","--","--","--"
"SEAC","SeaChange International Inc","-1.54","6.25","4.51","-27.14","-71.79","-69.68","-71.48"
"SFUN","Soufun Holdings Ltd-ADR","-0.88","0.59","-8.13","-44.06","-72.33","-4.45","--"
"SHOR","Shoretel Inc","-3.01","0.78","-9.15","5.56","-15.02","38.12","--"
"SIGM","Sigma Designs Inc","2.48","12.73","-0.8","-3.88","69.86","9.15","-77.72"
"SIMO","Silicon Motion Technology Corporation","-0.28","8.96","27.31","28.55","211.12","254.76","112.41"
"SMIT","Schmitt Industries Inc","-1.23","0.62","3.85","-24.65","-41.09","-54.87","-79.65"
"SMSI","Smith Micro Software Inc","-1.9","19.77","-33.98","-64.73","-83.81","-86.01","-98.5"
"SMTX","SMTC Corp","0.81","-3.88","-9.49","-22.98","-24.85","-66.76","-57.68"
"SOL","ReneSola Ltd","-2.43","-8.02","-22.27","-60.81","-82.47","-73.22","--"
"SONS","Sonus Networks Inc","1.54","17.73","21.54","-4.24","-50.78","-41.04","-79.13"
"SPDC","Speed Commerce Inc","--","8","44","5.37","-99.92","-99.85","-99.94"
"SPWR","SunPower Corp. - Class A","3.44","11.99","-1.29","-59.9","-79.83","22.52","-88.16"
"SQNS","Sequans Communications SA","1.31","40.88","55.02","76.26","129.76","73.09","--"
"SREV","ServiceSource International Inc","1.35","1.62","-29.98","-3.59","-10.9","-71.21","--"
"SSNI","Silver Spring Networks Inc","1.04","6.47","-10.77","-14.87","-24.21","--","--"
"SSYS","Stratasys Ltd.","3.39","29.57","33.08","24.58","-73.24","-47.57","14.99"
"STRI","STR Holdings Inc","-2.58","-2.39","11.17","-25.61","-95.7","-98.65","--"
"SUNEQ","SunEdison Inc","-6.04","-26.07","-44.25","-77.46","-99.78","-98.65","-99.92"
"SYNC","Synacor Inc","-2.78","0","11.11","-3.85","42.27","-69.27","-33.21"
"SYNT","Syntel Inc","3.67","10.24","-12.58","-55.2","-54.45","-35.93","1.89"
"SYX","Systemax Inc","28.98","38.05","103.54","88.16","2.33","19.21","0.06"
"TAIT","Taitron Components Inc","-0.34","-0.34","-0.34","39.29","16.26","10.83","-60.34"
"TCCO","Technical Communications Corp","-6.65","-11.32","-14.55","-13.62","-61.27","-77.23","-56.88"
"TIGR","TigerLogic Corp","--","0","-31.03","-92.31","-98.55","-99.01","-99.36"
"TNAV","Telenav Inc","-2.27","-3.91","-4.44","66.99","44.78","33.96","--"
"TNGO","Tangoe Inc","0.31","26.47","-5.43","-19.17","-57.31","-67.42","--"
"TRMR","Tremor Video Inc","3.04","17.33","-1.66","19.7","-44.1","--","--"
"TRUE","TrueCar Inc","1.22","20.32","31.59","178.12","--","--","--"
"TRVG","Trivago","-1.05","29.55","48.56","--","--","--","--"
"TTD","Trade Desk Inc","0.55","8.33","38.55","--","--","--","--"
"TWLO","Twilio Inc","-3.97","-14.91","-23.59","--","--","--","--"
"TWOU","2U Inc","-3.38","3.23","25.42","59.52","183.04","--","--"
"UCTT","Ultra Clean Holdings Inc","0.14","34.87","64.05","290.37","150.06","224.31","45.58"
"UIS","Unisys Corp","0.85","-9.51","-10.86","58.24","-50.19","-33.82","-85.14"
"UNXL","Uni-Pixel Inc","9.29","-32.63","-62.04","-79.11","-89.79","-90.64","-96.73"
"UPLD","Upland Software Inc","1.17","31.88","69.32","195.18","--","--","--"
"USAT","USA Technologies Inc","-1.02","5.43","14.12","7.06","141.29","267.42","-53"
"VECO","Veeco Instruments","-1.5","15.44","25.1","92.06","-10.67","-6.64","77.84"
"VIDE","Video Display Corp","-7.56","-5.21","-13.33","-4.21","-73.08","-78.89","-88.79"
"VNET","21Vianet Group Inc","-1.33","-3.53","-30.48","-73.11","-78.7","-60.96","--"
"VRNS","Varonis Systems Inc","10.5","13.37","18.92","67.46","25.09","--","--"
"VRNT","Verint Systems Inc","0.25","-2.72","6.35","18.03","-8.49","31.83","33.84"
"WK","Workiva Inc","5.28","12.19","39.69","56.77","--","--","--"
"WPCS","WPCS International Inc","-0.79","-3.08","-19.23","-0.79","-94.33","-99.2","-99.94"
"WSTL","Westell Technologies Inc","0.41","16.02","2.87","-39.32","-77.39","-67.13","-73.9"
"XCOMQ","Xtera Communications Inc","0","-13.33","-13.33","-99.53","--","--","--"
"XGTI","xG Technology Inc","-1.41","-6.04","-25.53","-91.02","-99.93","-99.86","--"
"XNET","Xunlei Ltd","0","-5.07","-4.81","-42.77","--","--","--"
"XTLY","Xactly Corp","0.43","0.43","-3.73","43.21","--","--","--"
"YELP","Yelp","1.08","7.37","-15.69","66.57","-40.72","67.51","--"
"YEXT","Yext Inc","0.58","--","--","--","--","--","--"
"YGE","Yingli Green Energy Holding Co Ltd","-4.88","-17.61","-12.36","-25","-92.5","-93.78","--"
"YRD","Yirendai Ltd","0.71","-2.69","3.64","104.65","--","--","--"
"YUME","YuMe Inc","-0.99","1.26","10.16","1.78","-38.78","--","--"
"YY","YY","1.5","11.83","24.96","-14.33","-17.03","--","--"
"ZBRA","Zebra Technologies Corp","2.41","4.81","15.65","52.69","33.74","155.11","144.33"
"ZEN","Zendesk, Inc.","-7.07","1.66","12.01","19.33","--","--","--"
"ZG","Zillow","10.35","28.25","20.29","59.37","-59.41","9.28","--"
"ZNGA","ZYNGA","12.68","14.29","25.49","25.49","-16.67","-61.58","--"
