"INAP","Internap Corp","277690.66","Information Technology","NASDAQ","-1.3005"
"INFN","Infinera Corp","1399218.25","Information Technology","NASDAQ","-59.284"
"INOD","Innodata Inc","50460.15","Information Technology","NASDAQ","-9.7101"
"INPHQ","Interphase Corp","209.85","Information Technology","NASDAQ","-0.0506"
"INSE","Inspired Entertainment Inc","214840.2","Information Technology","NASDAQ","-11.6479"
"INSG","Inseego Corp","100747.8","Information Technology","NASDAQ","-2.4443"
"INST","Instructure Inc","730179.5","Information Technology","NYSE","-12.8083"
"INVE","Identiv Inc","63037.05","Information Technology","NASDAQ","-4.5752"
"INVN","InvenSense Inc","1213474.23","Information Technology","NYSE","-16.6378"
"INVT","Inventergy Global Inc","2611.998","Information Technology","NASDAQ","-0.174"
"INVU","Investview Inc","1478.7","Information Technology","NASDAQ","-0.8251"
"IOTS","Adesto Technologies Corp","88110.4","Information Technology","NASDAQ","-6.9506"
"IPAS","iPass Inc","80257.7","Information Technology","NASDAQ","-10.2683"
"IPDN","Professional Diversity Network Inc","31322.6","Information Technology","NASDAQ","-4.1954"
"JASO","JA Solar Holdings Co Ltd","337754.1","Information Technology","NASDAQ","3.3127"
"JCS","Communications Systems Inc","41261.22","Information Technology","NASDAQ","-4.5554"
"JIVE","Jive Software Inc","419844.8","Information Technology","NASDAQ","-28.026"
"JKS","JinkoSolar Holding Co Ltd","536076.36","Information Technology","NYSE","1.9872"
"JMU","JMU Ltd","204209.88","Information Technology","NASDAQ","-2.6049"
"JTPY","JetPay Corp","33516.35","Information Technology","NYSE","-2.4311"
"KEM","KEMET Corp","565525.12","Information Technology","NYSE","-25.7873"
"KN","Knowles Corp","1594611.58","Information Technology","NYSE","-97.5945"
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","5142.3","Information Technology","NASDAQ","-33.9914"
"KOPN","Kopin Corp","317821.05","Information Technology","NASDAQ","-11.1506"
"KTCC","Key Tronic Corp","73813.6","Information Technology","NASDAQ","13.488"
"KVHI","KVH Industries Inc","136192","Information Technology","NASDAQ","-16.8513"
"LDKYQ","LDK Solar Co Ltd","4021.8588","Information Technology","NYSE","-0.0195"
"LEJU","Leju","438686.26","Information Technology","NYSE","-48.7401"
"LFGR","Leaf Group Ltd","174133.15","Information Technology","NYSE","-83.6757"
"LLNW","Limelight Networks Inc","345529.6","Information Technology","NASDAQ","-4.5902"
"LOCMQ","Local Corp","35.4984","Information Technology","NASDAQ","-0.0038"
"LPSN","LivePerson Inc","447096.6","Information Technology","NASDAQ","-15.2766"
"LQDT","Liquidity Services Inc","230723.85","Information Technology","NASDAQ","-3.8067"
"LRAD","LRAD Corp","55014","Information Technology","NASDAQ","-29.4936"
"LSCC","Lattice Semiconductor Corp","816501.12","Information Technology","NASDAQ","-15.2157"
"LTRX","Lantronix Inc","48364.25","Information Technology","NASDAQ","-97.121"
"LUNA","Luna Innovations Inc","38836.9742","Information Technology","NASDAQ","-17.1416"
"MARK","Remark Holdings Inc","70103.4","Information Technology","NASDAQ","-1.9635"
