"FIVN","Five9, Inc","--","-7.32","-43.71","151.01","117.2","32.1"
"FNJN","Finjan Holdings Inc","--","1.9","-100.65","--","34.65","75.85"
"FORTY","Formula Systems 1985 Ltd","--","9.82","17.96","66.54","9.97","1.22"
"FRTN","Fortran Corp","--","--","-1.99","--","34.62","4.27"
"FSLR","First Solar, Inc.","1.1","-12.13","-9.45","3.61","6.53","0.59"
"FTEO","FRONTEO Inc","--","-1.86","-21.46","98.92","38.14","4.32"
"FUEL","Rocket Fuel Inc","--","-14.4","-47.95","98.95","10.04","2.66"
"GIGA","Giga-tronics Inc","--","-28.12","--","2011.59","-1.71","-10.3"
"GLA","Glassbridge Enterprises Inc","--","-283.9","-532.13","0","-0.25","-0.68"
"GLUU","Glu Mobile Inc","--","-43.59","-28.49","0","-14.49","1.33"
"GOGO","Gogo Inc","--","-20.87","-204.77","-1989.24","24.82","-26.94"
"GRVY","Gravity Co Ltd","--","-2.11","-2.52","--","7.86","2.23"
"GSUM","Gridsum Holding Inc","0.2","-21.09","--","8.01","-20.91","3.46"
"GUID","Guidance Software Inc","0.74","-18.77","-194","-6363.64","99.33","-3538.01"
"HAUP","Hauppauge Digital Inc","--","--","-303.85","--","-0.12","-0.15"
"HAWK","Blackhawk Network Holdings Inc.","1.22","0.24","-0.73","73.59","13.93","2.86"
"HDP","Hortonworks Inc","--","-136.45","-297.44","6.58","-4.22","56"
"HIVE","Aerohive Networks","--","-21.73","-105.13","69.72","-17.09","7"
"HLIT","Harmonic Inc","0.19","-17.82","-22.11","45.98","-27.3","1.68"
"HMNY","Helios and Matheson Analytics Inc","--","-109.19","-340.31","0.53","-2.71","1.08"
"HOLI","Hollysys Automation Technologies Ltd","0.47","21.76","13.78","5.04","10.98","1.45"
"HQCL","Hanwha Q Cells Co Ltd","1.23","4.97","34.19","291.01","2.73","1.42"
"HUBS","HubSpot, Inc.","--","-16.81","-35.07","0.9","246.99","20.21"
"IAIC","Information Analysis Inc","--","-8.23","-25.43","--","-4.01","1.25"
"IDCC","InterDigital Inc","1.56","46.41","55","36.77","4.79","4.05"
"IDSY","ID Systems Inc","0.17","-17.3","-32.12","18.7","-23.04","5.65"
"IGOI","iGO Inc","--","-247.89","--","--","--","1.1"
"III","Information Services Group Inc","--","-3","-14.32","213.95","16.7","2.33"
"IIN","IntriCon Corp","0.56","-6.74","-24.46","62.68","-43.86","3.27"
"IMI","Intermolecular Inc","--","-32.64","-27.35","0.17","-17.51","0.89"
"IMMR","Immersion Corp","--","-68.99","-44.79","0","-28.94","4.58"
"IMPV","Imperva Inc","1.95","-26.58","-28.85","0","1079.67","6.34"
"INAP","Internap Corp","--","-41.82","-116.59","-10031.79","4.37","-48.11"
"INFN","Infinera Corp","--","-2.75","-3.08","17.52","15.43","1.89"
