"SIMO","Silicon Motion Technology Corporation","3.64","2.1635","1.7072","24.635","19.8914"
"SMIT","Schmitt Industries Inc","--","--","--","--","0.3328"
"SMSI","Smith Micro Software Inc","--","--","--","--","-13.3394"
"SMTX","SMTC Corp","--","--","--","--","-5.2955"
"SOL","ReneSola Ltd","-1.5","--","--","-9.665","-1.1516"
"SONS","Sonus Networks Inc","0.33","--","--","16.708","-0.5533"
"SPDC","Speed Commerce Inc","--","--","--","-8.234","--"
"SPWR","SunPower Corp. - Class A","-0.46","--","--","40.41","1.7842"
"SQNS","Sequans Communications SA","-0.31","--","--","--","-13.4251"
"SREV","ServiceSource International Inc","0.04","--","--","-11.478","4.2372"
"SSNI","Silver Spring Networks Inc","0.24","--","--","--","5.5811"
"SSYS","Stratasys Ltd.","0.28","0.25","0.45","-38.37","33.9575"
"STRI","STR Holdings Inc","--","--","--","--","-38.704"
"SUNEQ","SunEdison Inc","-0.96","--","--","6.458","--"
"SYNC","Synacor Inc","-0.36","--","--","--","6.9424"
"SYNT","Syntel Inc","-0.68","--","--","2.445","8.5134"
"SYX","Systemax Inc","0.22","--","--","-27.107","-14.523"
"TAIT","Taitron Components Inc","--","--","--","--","0.3242"
"TCCO","Technical Communications Corp","--","--","--","--","-26.9182"
"TIGR","TigerLogic Corp","--","--","--","--","--"
"TNAV","Telenav Inc","-0.58","--","--","-41.422","-2.7236"
"TNGO","Tangoe Inc","0.7","--","--","6.015","--"
"TRMR","Tremor Video Inc","-0.4","--","--","--","13.0526"
"TRUE","TrueCar Inc","-0.13","--","--","--","29.4541"
"TRVG","Trivago","0.07","0.05","0.22","--","--"
"TTD","Trade Desk Inc","0.89","--","--","--","--"
"TWLO","Twilio Inc","-0.16","--","--","--","--"
"TWOU","2U Inc","-0.1","--","--","--","47.2544"
"UCTT","Ultra Clean Holdings Inc","0.65","--","--","16.064","--"
"UIS","Unisys Corp","-0.95","--","--","-30.593","-6.0507"
"UNXL","Uni-Pixel Inc","-0.71","--","--","--","83.8418"
"UPLD","Upland Software Inc","-0.82","--","--","--","--"
"USAT","USA Technologies Inc","-0.01","--","--","--","27.617"
